# target delivery_s colour_int
estrack-kourou 122.4 16090392
estrack-cebreros 122.7 16090392
estrack-kiruna 122.8 16090392
estrack-redu 122.8 16090392
estrack-new-norcia 123.0 16090392
estrack-santa-maria 123.1 16090392
estrack-malargue 124.0 16090392
oneweb-9013 124.2 5011624
oneweb-9026 126.3 5011624
oneweb-9014 132.0 5011624
oneweb-9024 132.0 5011624
oneweb-9033 132.3 5011624
oneweb-9006 132.3 5011624
oneweb-0093 132.6 5011624
oneweb-9010 133.3 5011624
oneweb-9029 133.4 5011624
oneweb-0081 133.8 5011624
oneweb-9039 134.1 5011624
oneweb-0026 134.2 5011624
oneweb-9031 134.2 5011624
oneweb-9009 134.3 5011624
oneweb-9027 134.4 5011624
oneweb-0052 134.5 5011624
oneweb-9015 134.5 5011624
oneweb-0006 134.6 5011624
oneweb-9017 135.1 5011624
oneweb-9030 135.2 5011624
oneweb-9016 135.2 5011624
oneweb-9007 135.6 5011624
oneweb-9023 135.9 5011624
oneweb-9011 136.1 5011624
oneweb-9012 136.1 5011624
oneweb-9038 136.2 5011624
oneweb-0066 136.6 5011624
oneweb-9028 136.7 5011624
oneweb-0018 137.3 5011624
oneweb-9022 138.6 5011624
oneweb-9008 138.9 5011624
oneweb-0012 139.1 5011624
oneweb-9025 139.2 5011624
oneweb-0069 140.3 5011624
oneweb-0090 146.6 5011624
oneweb-9032 147.1 5011624
oneweb-9005 148.1 5011624
oneweb-0054 177.0 5011624
