# target delivery_s colour_int
oneweb-0093 99.6 5011624
oneweb-9027 108.3 5011624
oneweb-9039 108.5 5011624
oneweb-9026 111.8 5011624
oneweb-9007 111.9 5011624
oneweb-9014 113.0 5011624
oneweb-9009 113.3 5011624
oneweb-0081 114.3 5011624
oneweb-9010 114.4 5011624
oneweb-9030 117.4 5011624
oneweb-9022 118.0 5011624
oneweb-9029 118.9 5011624
oneweb-9015 119.0 5011624
oneweb-9006 119.8 5011624
oneweb-9033 120.2 5011624
oneweb-9011 121.9 5011624
oneweb-0054 121.9 5011624
oneweb-9008 122.6 5011624
oneweb-9013 123.3 5011624
oneweb-0066 123.9 5011624
oneweb-9032 124.9 5011624
oneweb-9028 125.0 5011624
oneweb-9023 125.4 5011624
oneweb-9038 126.0 5011624
oneweb-9005 129.5 5011624
oneweb-9025 129.6 5011624
oneweb-9016 129.9 5011624
oneweb-9031 131.3 5011624
oneweb-9012 131.3 5011624
oneweb-0018 133.0 5011624
oneweb-0069 135.0 5011624
oneweb-0026 135.4 5011624
oneweb-0006 135.5 5011624
oneweb-0012 136.0 5011624
oneweb-9024 138.4 5011624
oneweb-0090 139.4 5011624
oneweb-0052 140.0 5011624
oneweb-9017 178.5 5011624
estrack-new-norcia 199.7 16090392
estrack-redu 200.4 16090392
estrack-santa-maria 200.4 16090392
estrack-malargue 200.5 16090392
estrack-cebreros 201.9 16090392
estrack-kourou 203.0 16090392
estrack-kiruna 205.5 16090392
oneweb-0051 265.7 5011624
oneweb-9021 291.7 5011624
