# target delivery_s colour_int
iridium-146 21.8 5546571
iridium-174 26.2 5546571
skysat-c12 30.6 5546571
flock-4g-20 40.7 5546571
iridium-161 41.8 5546571
flock-4g-14 45.0 5546571
iridium-156 45.7 5546571
flock-4q-28 48.4 5546571
lemur-2-balto 48.4 5546571
flock-4h-19 49.6 5546571
flock-4be-2 50.6 5546571
orbcomm-fm06 51.1 5546571
orbcomm-fm109 51.5 5546571
flock-4g-11 51.7 5546571
oneweb-0692 52.0 5546571
globalstar-m079 52.2 5546571
flock-4h-35 52.7 5546571
lemur-2-ahmed-asrar 52.8 5546571
lemur-2-teodor 53.2 5546571
orbcomm-fm117 53.4 5546571
lemur-2-amanda-svante 53.7 5546571
oneweb-0548 54.0 5546571
iridium-168 54.2 5546571
oneweb-0279 54.2 5546571
lemur-2-thefalconer 54.7 5546571
flock-4h-26 54.7 5546571
flock-4g-21 57.0 5546571
flock-4h-9 57.2 5546571
flock-4h-31 57.3 5546571
oneweb-0049 57.4 5546571
oneweb-0121 57.5 5546571
globalstar-m078 58.4 5546571
lemur-2-peterg 58.5 5546571
oneweb-0614 59.3 5546571
iridium-117 59.9 5546571
flock-4be-23 60.1 5546571
iridium-104 60.4 5546571
iridium-136 60.6 5546571
oneweb-0636 60.6 5546571
globalstar-m080 60.8 5546571
globalstar-m085 61.1 5546571
oneweb-0473 61.3 5546571
lemur-2-tomatokechup 61.5 5546571
orbcomm-fm118 61.5 5546571
skysat-c1 61.8 5546571
lemur-2-tartiflette 61.8 5546571
flock-4g-22 62.4 5546571
lemur-2-myra 62.5 5546571
oneweb-0519 62.5 5546571
pelican-4 62.6 5546571
globalstar-m083 63.3 5546571
flock-4q-9 63.6 5546571
oneweb-0401 63.7 5546571
globalstar-m089 64.7 5546571
flock-4g-18 65.5 5546571
flock-4h-14 66.3 5546571
lemur-2-mario-sousa 66.3 5546571
lemur-2-lucille-rose 66.8 5546571
orbcomm-fm27 68.4 5546571
iridium-144 69.1 5546571
