# target delivery_s colour_int
oneweb-0548 23.6 5546571
iridium-136 29.8 5546571
iridium-106 36.5 5546571
skysat-c12 43.7 5546571
lemur-2-marache-fran 46.6 5546571
oneweb-0519 52.6 5546571
oneweb-0334 58.4 5546571
globalstar-m077 61.1 5546571
flock-4g-7 62.8 5546571
flock-4h-14 65.6 5546571
lemur-1 66.6 5546571
lemur-2-cael 66.7 5546571
oneweb-0209 69.2 5546571
orbcomm-fm112 73.0 5546571
flock-4be-23 74.2 5546571
flock-4g-36 75.0 5546571
oneweb-0012 75.5 5546571
iridium-147 92.9 5546571
lemur-2-deanandmaeve 99.5 5546571
globalstar-m082 142.9 5546571
orbcomm-fm06 174.6 5546571
estrack-malargue 241.6 16090392
estrack-cebreros 244.0 16090392
estrack-redu 244.0 16090392
estrack-new-norcia 244.0 16090392
estrack-santa-maria 244.2 16090392
estrack-kiruna 244.3 16090392
estrack-kourou 1378.3 16090392
