# target delivery_s colour_int
flock-4h-26 15.7 5546571
flock-4g-21 16.8 5546571
globalstar-m094 32.9 5546571
oneweb-0049 36.2 5546571
lemur-2-amanda-svante 37.9 5546571
iridium-146 40.2 5546571
lemur-2-myra 40.3 5546571
oneweb-0548 40.3 5546571
orbcomm-fm118 41.6 5546571
lemur-2-deloitte-1 42.7 5546571
iridium-106 43.2 5546571
skysat-c9 45.8 5546571
globalstar-m075 46.7 5546571
flock-4h-35 48.9 5546571
skysat-c1 53.3 5546571
globalstar-m085 54.1 5546571
iridium-104 54.3 5546571
globalstar-m069 54.9 5546571
orbcomm-fm19 55.2 5546571
flock-4g-14 55.8 5546571
lemur-2-balto 56.3 5546571
iridium-136 56.8 5546571
globalstar-m079 57.1 5546571
orbcomm-fm113 57.6 5546571
oneweb-0213 58.1 5546571
orbcomm-fm109 58.6 5546571
lemur-2-lucille-rose 58.9 5546571
oneweb-0562 60.7 5546571
iridium-156 60.8 5546571
orbcomm-fm117 60.9 5546571
oneweb-0121 61.6 5546571
oneweb-0334 62.0 5546571
lemur-2-ahmed-asrar 62.8 5546571
orbcomm-fm06 63.0 5546571
oneweb-0279 63.9 5546571
flock-4be-3 64.6 5546571
flock-4h-9 65.2 5546571
flock-4be-2 65.4 5546571
iridium-116 65.4 5546571
iridium-174 65.7 5546571
flock-4q-28 66.2 5546571
lemur-2-mario-sousa 66.5 5546571
flock-4be-11 66.5 5546571
globalstar-m080 66.6 5546571
iridium-144 66.8 5546571
iridium-171 67.4 5546571
globalstar-m089 68.1 5546571
iridium-161 68.2 5546571
oneweb-0209 69.2 5546571
lemur-2-thefalconer 69.7 5546571
flock-4q-30 69.8 5546571
flock-4h-14 71.0 5546571
globalstar-m078 71.6 5546571
oneweb-0310 72.3 5546571
oneweb-0519 73.4 5546571
oneweb-0207 73.7 5546571
flock-4be-14 74.0 5546571
lemur-2-thermoraptor 74.2 5546571
flock-4h-19 75.0 5546571
flock-4q-9 75.7 5546571
