# target delivery_s colour_int
oneweb-0093 264.5 5011624
oneweb-0069 267.9 5011624
oneweb-9012 268.6 5011624
oneweb-9013 277.8 5011624
oneweb-0081 278.0 5011624
oneweb-9010 280.5 5011624
oneweb-9007 280.5 5011624
oneweb-9027 280.8 5011624
oneweb-0066 280.8 5011624
oneweb-9022 281.1 5011624
oneweb-9031 281.7 5011624
oneweb-9008 282.0 5011624
oneweb-0026 282.0 5011624
oneweb-9026 282.2 5011624
oneweb-9029 282.5 5011624
oneweb-0018 283.2 5011624
oneweb-9025 284.0 5011624
oneweb-9014 284.3 5011624
oneweb-9015 285.3 5011624
oneweb-0052 286.5 5011624
oneweb-0012 287.8 5011624
oneweb-9023 288.6 5011624
oneweb-9024 288.7 5011624
oneweb-0006 290.9 5011624
oneweb-9030 291.0 5011624
oneweb-9028 291.3 5011624
oneweb-9009 291.9 5011624
oneweb-9011 292.0 5011624
oneweb-9006 293.5 5011624
oneweb-9039 293.6 5011624
oneweb-9033 325.6 5011624
oneweb-9021 330.5 5011624
oneweb-9032 331.5 5011624
oneweb-9016 332.3 5011624
oneweb-9038 342.6 5011624
oneweb-0090 363.3 5011624
oneweb-0051 378.3 5011624
oneweb-9005 380.3 5011624
oneweb-9017 394.5 5011624
oneweb-0054 400.6 5011624
oneweb-0065 406.1 5011624
oneweb-9004 576.9 5011624
estrack-santa-maria 705.2 16090392
estrack-redu 705.3 16090392
estrack-cebreros 705.3 16090392
estrack-kiruna 705.4 16090392
estrack-kourou 705.5 16090392
estrack-malargue 705.9 16090392
estrack-new-norcia 706.3 16090392
oneweb-0010 714.5 5011624
