# target delivery_s colour_int
oneweb-9032 68.5 5011624
oneweb-0018 68.7 5011624
oneweb-9013 68.8 5011624
oneweb-9027 69.0 5011624
oneweb-9026 69.0 5011624
oneweb-9010 69.1 5011624
oneweb-9025 69.1 5011624
oneweb-9017 69.1 5011624
oneweb-0052 69.5 5011624
oneweb-9030 69.5 5011624
oneweb-9011 69.6 5011624
oneweb-9028 69.8 5011624
oneweb-0093 69.8 5011624
oneweb-9023 69.9 5011624
oneweb-9015 70.1 5011624
oneweb-9038 70.2 5011624
oneweb-9033 70.3 5011624
oneweb-0006 70.3 5011624
oneweb-9024 70.4 5011624
oneweb-0081 70.4 5011624
oneweb-0090 70.5 5011624
oneweb-9029 70.5 5011624
oneweb-9039 70.8 5011624
oneweb-0026 70.8 5011624
oneweb-0012 70.9 5011624
oneweb-9031 71.2 5011624
oneweb-9022 71.4 5011624
oneweb-9009 71.5 5011624
oneweb-0066 71.5 5011624
oneweb-9008 71.6 5011624
oneweb-0054 72.4 5011624
oneweb-9006 72.4 5011624
oneweb-9016 72.4 5011624
oneweb-9014 72.9 5011624
oneweb-0069 73.5 5011624
oneweb-9012 74.2 5011624
oneweb-9007 74.4 5011624
oneweb-0051 79.0 5011624
estrack-new-norcia 101.1 16090392
