# target delivery_s colour_int
oneweb-0023 15.5 5011624
oneweb-0011 24.6 5011624
oneweb-0017 27.0 5011624
oneweb-0028 30.3 5011624
oneweb-0010 31.8 5011624
oneweb-0020 35.3 5011624
oneweb-0037 35.9 5011624
oneweb-0025 36.3 5011624
oneweb-0024 36.5 5011624
oneweb-0029 36.9 5011624
oneweb-0038 40.9 5011624
oneweb-0007 52.2 5011624
oneweb-0008 58.2 5546571
oneweb-0012 58.8 5011624
oneweb-0031 58.8 5011624
oneweb-0021 59.9 5011624
oneweb-0027 70.9 5546571
oneweb-0018 78.2 5546571
oneweb-0026 80.6 5011624
oneweb-0006 86.3 5011624
estrack-malargue 300.1 16090392
estrack-kiruna 320.3 16090392
estrack-kourou 341.6 16090392
estrack-new-norcia 385.6 16090392
estrack-cebreros 407.5 16090392
estrack-redu 410.2 16090392
estrack-santa-maria 410.4 16090392
